id,title,price,domain_id,brand
MLA1378574093,Smart Tv Philips 6600 Series 50pud6654/77 Led Saphi 4k 50  110v/240v,313950.0,MLA-TELEVISIONS,Philips
MLA1219947504,Smart Tv Rca 65  And65p7uhd Ultra Hd 4k Android Tv 100v/240v,299999.0,MLA-TELEVISIONS,RCA
MLA1110723065,Smart Tv Led 50 Pulgadas Rca And50fxuhd Android 4k Uhd,286998.0,MLA-TELEVISIONS,RCA
MLA1198277070,Smart Tv Philips 55pud7906/77 Led 4k 55  110v/240v,274999.0,MLA-TELEVISIONS,Philips
MLA1367271413,Smart Tv Samsung The Frame Qled 4k 55'' Con Marco Beige,499999.0,MLA-TELEVISIONS,Samsung
MLA1136584861,Sony X80j Series Kd-55x80j,849999.0,MLA-TELEVISIONS,Sony
MLA1378812369,Smart Tv 65'' 4k Uhd Android | Rca | G65p8uhd,293599.0,MLA-TELEVISIONS,RCA
MLA1217052178,Smart Tv Philco Pld55hs2250pi Led 4k 55'',245434.8,MLA-TELEVISIONS,Philco
MLA1382030009,Smart Tv Tcl L50p735 Led Hdr Google Tv 4k 50',241495.0,MLA-TELEVISIONS,TCL
MLA1198406283,Smart Tv Philips 55pud7906/77 Led 4k 55  110v/240v,384999.0,MLA-TELEVISIONS,Philips
MLA1380230189,Led Smart Tv Google Tcl 50'' 4k Uhd L50p735,192809.0,MLA-TELEVISIONS,TCL
MLA1438380642,Smart Tv 50 Bgh 4k Uhd Led Android B5022us6a - Rex,190697.0,MLA-TELEVISIONS,BGH
MLA1160881974,Smart Tv Samsung Qled 55  Series 6 4k Q65b,346999.0,MLA-TELEVISIONS,Samsung
MLA1316629248,Smart Tv Hisense 50u60h Uled 4k 50'' Con Google Tv,239999.0,MLA-TELEVISIONS,Hisense
MLA1151038859,Smart Tv 58  Hyundai Hyled-58uhd5a 4k Ultra Hd,311999.0,MLA-TELEVISIONS,Hyundai
MLA1185006737,Smart Tv Rca And55fxuhd Lcd Android Tv 4k 55  220v - 240v,212289.0,MLA-TELEVISIONS,RCA
MLA1144094660,Smart Tv Tcl P725-series L50p725 Led 4k 50  ,206308.94,MLA-TELEVISIONS,TCL
MLA1402039820,Smart Tv Samsung 55 Neo Qled 4k Uhd Qn55qn85ba Nuevo Gtia,669999.0,MLA-TELEVISIONS,Samsung
MLA1369040719,Smart Tv Kodak We-6xst005 4k 60  220v,216870.0,MLA-TELEVISIONS,Kodak
MLA1150563354,Smart Tv Bgh Led B5022us6a Uhd 4k Android,202999.0,MLA-TELEVISIONS,BGH
MLA1117425885,Smart Tv Led 55  Philips 55pud7406/77 4k Uhd,227799.0,MLA-TELEVISIONS,Philips
MLA1190123702,Smart Tv Samsung 75'' Uhd Serie Un75bu8000,769999.0,MLA-TELEVISIONS,Samsung
MLA1198277111,Smart Tv Philips 55pud7906/77 Led 4k 55  110v/240v,388799.0,MLA-TELEVISIONS,Philips
MLA1364418002,Smart Tv Philips Series 7 65oled707/77 Android 11 4k 65  110v/240v,799999.0,MLA-TELEVISIONS,Philips
MLA1134297827,Televisor Samsung Smart Tv Crystal Uhd 4k 70  Au7000,531249.0,MLA-TELEVISIONS,Samsung
MLA1184407449,Smart Tv 55 Noblex Dr55x7550 Led Android Google Play,306694.0,MLA-TELEVISIONS,Noblex
MLA1372224333,Smart Tv Samsung The Frame Qled 4k 55''  + Marco Beige,582999.0,MLA-TELEVISIONS,Samsung
MLA1164584823,Smart Tv Aoc 50u6295/77g Led 4k 50  220v,190399.0,MLA-TELEVISIONS,AOC
MLA1167761126,Smart Tv Led 50 Bgh B5022uk6 Ultra Hd Netflix Youtube 220v,168234.55,MLA-TELEVISIONS,BGH
MLA1408954198,Smart Tv Noblex Dk65x7500 Led Google Tv 4k 65  220v,348600.0,MLA-TELEVISIONS,Noblex
MLA1231798406,Smart Tv Kanji Kj-6xst005 Led 4k 60  220v - 240v,285075.0,MLA-TELEVISIONS,Kanji
MLA1458169314,Smart Tv 55 Pulgadas 4k Ultra Hd Cdh-le554ksmart21 F - Hitachi,239998.0,MLA-TELEVISIONS,Hitachi
MLA1319289347,"LG Uhd Thinq Ai 86'' Uq9050 4k Smart Tv, 4k",1088998.9,MLA-TELEVISIONS,LG
MLA1368841439,Smart Tv Noblex Dk50x6550pi Led Hdr 4k 50'' Vidaa,189999.0,MLA-TELEVISIONS,Noblex
MLA1146594507,43 4k Uhd Smart Tv Android Philips 43pud7407/77 Bluetooth,235809.0,MLA-TELEVISIONS,Philips
MLA1380217363,Smart Tv Led 55'' Tcl L55p735 4k Ultra Hd,312199.0,MLA-TELEVISIONS,TCL
MLA1330727574,Smart Tv Led 50  LG 50uq8050 Uhd,284999.0,MLA-TELEVISIONS,LG
MLA1287067287,Smart Tv Samsung Series 6 Qn55q65bagczb 55 Pulgadas Qled 4k,346999.0,MLA-TELEVISIONS,Samsung
MLA1381078535, Led Smart Aoc 50 50u6295/77g Netflix Youtube Tv 4k Pcreg,188279.0,MLA-TELEVISIONS,AOC
MLA1367375353,Smart Tv Samsung 55 Pulgadas Neo Qled 4k Qn55qn85bagczb,599999.0,MLA-TELEVISIONS,Samsung
MLA1233172153,Smart Tv Philips 43 4k Uhd Android  Pud7407/77 110v-240v,205529.0,MLA-TELEVISIONS,Philips
MLA931223400,Smart Tv Kanji 60 Pulgadas 4k Uhd Wifi Netflix Youtube Tda !,399999.0,MLA-TELEVISIONS,Kanji
MLA1131833519,Smart Tv Samsung Series 7 Un50au7000gczb Led 4k 50  ,222431.83,MLA-TELEVISIONS,Samsung
MLA1439409050,Smart Tv LG 55 Pulgadas 55nano80sqa Led 4k Uhd Webos 22,414999.0,MLA-TELEVISIONS,LG
MLA1152308811,Televisor Philips 50  4k Android Tv,443329.0,MLA-TELEVISIONS,Philips
MLA1273977963,Smart Tv Philips 7000 Series 50pud7406/77 Led 4k 50  ,229875.0,MLA-TELEVISIONS,Philips
MLA1113770743,Led Tv Philips 55  Pud7406/77 Android Smart Netflix Prime 4k,415616.07,MLA-TELEVISIONS,Philips
MLA1112131010,Smart Tv Samsung 85 Qn85q70aagczb Qled 4k Al Click Nuevo,1259999.0,MLA-TELEVISIONS,Samsung
MLA1147452735,Smart Tv Samsung Series 7 Un70au7000gxzs Led Tizen 4k 70  100v/240v,439998.9,MLA-TELEVISIONS,Samsung
MLA1368889155,Smart Tv LG Uhd 43uq8050psb Thinq Ai 43,200699.0,MLA-TELEVISIONS,LG
MLA1417028870,Smart Tv Qled 4k 55 Samsung Qn85b Qn55qn85ba 120hz Dolby Csi,809999.0,MLA-TELEVISIONS,Samsung
MLA1262051381,Smart Tv 55  Noblex 4k Uhd Google Tv Dk55x7500,227999.0,MLA-TELEVISIONS,Noblex
MLA1106919674,Smart Tv Tcl P-series 55p715 Dled Android Tv 4k 55  100v/240v,282162.89,MLA-TELEVISIONS,TCL
MLA1428579206,Tcl Led 55  L55p735 Uhd Google Tv-rv,237167.0,MLA-TELEVISIONS,TCL
MLA1377005105,Smart Tv Samsung The Frame Qled 4k + Marco 65'' Beige,769999.0,MLA-TELEVISIONS,Samsung
MLA1116126142,Samsung Q60a Smart Tv Qled 55 4k Qn55q60aagczb _ap,567936.2,MLA-TELEVISIONS,Samsung
MLA1469483326,Smart Tv 50 Bgh 4k Uhd Led Android B5022us6a Android,167999.0,MLA-TELEVISIONS,BGH
MLA897814087,Smart Tv Hitachi Cdh-le504ksmart20 Led Android Tv 4k 50  110v/240v,221998.0,MLA-TELEVISIONS,Hitachi
MLA1219866235,Televisor Samsung 43  Neo Qled 4k Qn90b,509999.0,MLA-TELEVISIONS,Samsung
